Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07486-07618).mp3;7486;7618;132;55589;so wie in den bergen wenn man in eine klamm schaut;so wie in den bergen wenn man in eine klamm schaut;train7;20000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07669-07734).mp3;7669;7734;65;27586;einmal erzählt er jetzt;einmal erzählt er jetzt;train7;102
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07743-07833).mp3;7743;7833;90;38035;habe er in so eine gesehen;habe er in so eine gesehen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07859-07924).mp3;7859;7924;65;27586;in der schweiz;in der schweiz;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07930-08000).mp3;7930;8000;70;29676;da habe ein senner;da habe ein senner;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (07999-08105).mp3;7999;8105;106;44722;ihn zum almauftrieb mitgenommen;ihn zum almauftrieb mitgenommen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08116-08205).mp3;8116;8205;89;37617;die kühe hätten große glocken getragen;die kühe hätten große glocken getragen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08232-08299).mp3;8232;8299;67;28422;und der name des senners;und der name des senners;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08298-08386).mp3;8298;8386;88;37199;sei ruedi gewesen;sei ruedi gewesen;train7;20002
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08423-08667).mp3;8423;8667;245;103237;klaus stutzt dann erinnert er sich was er eigentlich hat sagen wollen da habe er also;klaus stutzt dann erinnert er sich was er eigentlich hat sagen wollen da habe er also;train9;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08685-08758).mp3;8685;8758;73;30929;in die klamm geschaut;in die klamm geschaut;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08757-08931).mp3;8757;8931;174;73143;und die sei so tief gewesen dass man den grund nicht habe sehen können;und die sei so tief gewesen dass man den grund nicht habe sehen können;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (08963-09032).mp3;8963;9032;69;29258;da habe er den senner;da habe er den senner;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09047-09161).mp3;9047;9161;114;48066;der übrigens ruedi geheißen habe;der übrigens ruedi geheißen habe;train7;10010
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09192-09257).mp3;9192;9257;65;27586;ein seltsamer name;ein seltsamer name;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09257-09374).mp3;9257;9374;117;49320;also da habe er den ruedi gefragt;also da habe er den ruedi gefragt;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09385-09450).mp3;9385;9450;65;27586;wie tief ist die denn;wie tief ist die denn;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09482-09763).mp3;9482;9763;257;108253;und der ruedi habe ihm so schleppend als hätte ihn die müdigkeit ergriffen geantwortet;und der ruedi habe ihm so schleppend als hätte ihn die müdigkeit ergriffen geantwortet;train7;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09792-09871).mp3;9792;9871;79;33437;die hat keinen;die hat keinen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (09870-10128).mp3;9870;10128;209;88609;boden klaus seufzt die löffel schaben in der stille;boden klaus seufzt die löffel schaben in der stille;train9;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10153-10429).mp3;10153;10429;261;110343;erst habe er gedacht erzählt er weiter das sei nicht möglich und der senner sei ein lügner;erst habe er gedacht erzählt er weiter das sei nicht möglich und der senner sei ein lügner;train7;30003
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10430-10496).mp3;10430;10496;66;28004;dann habe er sich gefragt;dann habe er sich gefragt;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10510-10631).mp3;10510;10631;121;50992;ob die schlucht vielleicht der eingang zur hölle sei;ob die schlucht vielleicht der eingang zur hölle sei;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10654-10884).mp3;10654;10884;230;96549;aber plötzlich sei ihm klargeworden dass es darauf gar nicht ankomme auch wenn die schlucht;aber plötzlich sei ihm klargeworden dass es darauf gar nicht ankomme auch wenn die schlucht;train7;10000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10883-10956).mp3;10883;10956;73;30929;einen grund habe;einen grund habe;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (10969-11064).mp3;10969;11064;95;40125;so müsse man doch bloß nach oben blicken;so müsse man doch bloß nach oben blicken;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 012.mp3;Daniel Kehlmann - Tyll - 012 (11063-11178).mp3;11063;11178;115;48484;um eine schlucht ohne grund zu sehen;um eine schlucht ohne grund zu sehen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00049-00208).mp3;49;208;159;66874;mit schwerer hand kratzt klaus sich am kopf eine schlucht;mit schwerer hand kratzt klaus sich am kopf eine schlucht;train8;110
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00218-00315).mp3;218;315;97;40960;murmelt er die einfach;murmelt er die einfach;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00333-00515).mp3;333;515;182;76487;immer weitergehe weiter und weiter egal wo man sei immer noch weiter;immer weitergehe weiter und weiter egal wo man sei immer noch weiter;train8;110000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00542-00775).mp3;542;775;233;97803;in die also alle dinge der welt passten ohne auch nur den kleinsten teil ihrer tiefe zu füllen eine tiefe;in die also alle dinge der welt passten ohne auch nur den kleinsten teil ihrer tiefe zu füllen eine tiefe;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00776-00881).mp3;776;881;105;44304;an der alles zunichte werde;an der alles zunichte werde;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (00931-00996).mp3;931;996;65;27586;er isst einen löffel grütze;er isst einen löffel grütze;train7;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01018-01250).mp3;1018;1250;232;97385;ganz übel könne einem werde so wie einem ja auch marod zumute sei sobald man sich klarmache;ganz übel könne einem werde so wie einem ja auch marod zumute sei sobald man sich klarmache;train8;100013
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01249-01353).mp3;1249;1353;104;43886;dass die zahlen nie endeten;dass die zahlen nie endeten;train7;102
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01383-01503).mp3;1383;1503;120;50574;dass man zu jeder noch eine hinzutun könne;dass man zu jeder noch eine hinzutun könne;train9;1000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01544-01723).mp3;1544;1723;179;75233;als gäbe es keinen gott um solchem treiben einhalt zu gebieten immer noch eine;als gäbe es keinen gott um solchem treiben einhalt zu gebieten immer noch eine;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01726-01985).mp3;1726;1985;258;109089;zählen ohne ende tiefe ohne boden zeit vor der zeit;zählen ohne ende tiefe ohne boden zeit vor der zeit;train7;110
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (01987-02184).mp3;1987;2184;158;66875;klaus schüttelt den kopf und wenn da schreit sepp auf;klaus schüttelt den kopf und wenn da schreit sepp auf;train9;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (02201-02266).mp3;2201;2266;65;27586;er presst die hände an den mund;er presst die hände an den mund;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (02273-02361).mp3;2273;2361;88;37199;alle sehen ihn an verdutzt;alle sehen ihn an verdutzt;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (02376-02467).mp3;2376;2467;91;38453;aber vor allem froh über die unterbrechung;aber vor allem froh über die unterbrechung;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (02500-02894).mp3;2500;2894;361;151720;sepp spuckt ein paar braune kiesel aus die genauso aussehen wie die teigklumpen in der grütze es ist nicht leicht gewesen sie unbemerkt in seine schüssel zu schmuggeln;sepp spuckt ein paar braune kiesel aus die genauso aussehen wie die teigklumpen in der grütze es ist nicht leicht gewesen sie unbemerkt in seine schüssel zu schmuggeln;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (02893-03012).mp3;2893;3012;119;50156;für so etwas muss man auf den richtigen moment warten;für so etwas muss man auf den richtigen moment warten;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (03041-03122).mp3;3041;3122;81;34273;und wenn nötig muss man;und wenn nötig muss man;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (03121-03955).mp3;3121;3955;835;349833;selbst ablenkung schaffen deshalb hat der junge vorhin rosa die magd gegen das schienbein getreten und als sie aufgeschrien und ihm gesagt hat dass er ein rattenvieh und er ihr gesagt hat dass sie eine hässliche kuh sei und sie ihm wieder gesagt hat dass er dreckiger sei als der dreck und seine mutter ihnen beiden gesagt hat dass sie sofort ruhig sein sollten in gottes namen oder es gebe heute kein essen hat er sich schnell vorgebeugt;selbst ablenkung schaffen deshalb hat der junge vorhin rosa die magd gegen das schienbein getreten und als sie aufgeschrien und ihm gesagt hat dass er ein rattenvieh und er ihr gesagt hat dass sie eine hässliche kuh sei und sie ihm wieder gesagt hat dass er dreckiger sei als der dreck und seine mutter ihnen beiden gesagt hat dass sie sofort ruhig sein sollten in gottes namen oder es gebe heute kein essen hat er sich schnell vorgebeugt;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (03960-04175).mp3;3960;4175;215;90280;und genau in dem moment da alle auf agneta geblickt haben die steine in sepps schüssel plumpsen lassen;und genau in dem moment da alle auf agneta geblickt haben die steine in sepps schüssel plumpsen lassen;train7;10001
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04200-04391).mp3;4200;4391;191;80249;der richtige augenblick ist schnell versäumt aber wenn man aufmerksam ist kann man ihn spüren;der richtige augenblick ist schnell versäumt aber wenn man aufmerksam ist kann man ihn spüren;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04413-04500).mp3;4413;4500;87;36781;dann könnte ein einhorn durchs zimmer laufen;dann könnte ein einhorn durchs zimmer laufen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04499-04570).mp3;4499;4570;71;30094;ohne dass die anderen es bemerken würden;ohne dass die anderen es bemerken würden;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04620-04825).mp3;4620;4825;203;85683;sepp tastet mit dem finger im mund spuckt einen zahn auf den tisch hebt den kopf;sepp tastet mit dem finger im mund spuckt einen zahn auf den tisch hebt den kopf;train7;20002
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04872-04937).mp3;4872;4937;65;27586;und sieht den jungen an;und sieht den jungen an;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (04985-05050).mp3;4985;5050;65;27586;das ist nicht gut;das ist nicht gut;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (05081-05275).mp3;5081;5275;181;76487;er war sich ziemlich sicher dass sepp es nicht durchschauen würde aber der ist offenbar doch nicht so blöd;er war sich ziemlich sicher dass sepp es nicht durchschauen würde aber der ist offenbar doch nicht so blöd;train8;1110
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (05313-05739).mp3;5313;5739;426;178469;da springt der junge auf und rennt zur tür leider ist sepp nicht nur groß sondern auch schnell und er bekommt ihn zu fassen der junge will sich losreißen es gelingt nicht sepp holt aus und schlägt ihm die faust ins gesicht;da springt der junge auf und rennt zur tür leider ist sepp nicht nur groß sondern auch schnell und er bekommt ihn zu fassen der junge will sich losreißen es gelingt nicht sepp holt aus und schlägt ihm die faust ins gesicht;train7;204
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (05768-05895).mp3;5768;5895;127;53499;der schlag saugt alle anderen geräusche auf;der schlag saugt alle anderen geräusche auf;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (05942-06130).mp3;5942;6130;189;79831;der junge blinzelt agneta ist aufgesprungen die magd lacht;der junge blinzelt agneta ist aufgesprungen die magd lacht;train8;120000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (06130-06195).mp3;6130;6195;65;27586;sie mag es wenn geprügelt wird;sie mag es wenn geprügelt wird;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (06238-06541).mp3;6238;6541;279;117447;klaus sitzt mit gerunzelter stirn da gefangen in seinen gedanken die zwei anderen knechte reißen neugierig die augen auf;klaus sitzt mit gerunzelter stirn da gefangen in seinen gedanken die zwei anderen knechte reißen neugierig die augen auf;train9;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (06564-06752).mp3;6564;6752;188;78995;der junge hört nichts der raum dreht sich die zimmerdecke ist unter ihm;der junge hört nichts der raum dreht sich die zimmerdecke ist unter ihm;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (06771-06995).mp3;6771;6995;200;84429;sepp hat ihn sich über die schulter geworfen wie einen mehlsack dann trägt er ihn hinaus;sepp hat ihn sich über die schulter geworfen wie einen mehlsack dann trägt er ihn hinaus;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07013-07262).mp3;7013;7262;249;104490;und der junge sieht gras über sich drunten wölbt sich der himmel durchzogen von den wolkenfasern des abends;und der junge sieht gras über sich drunten wölbt sich der himmel durchzogen von den wolkenfasern des abends;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07268-07333).mp3;7268;7333;65;27586;jetzt hört er wieder etwas;jetzt hört er wieder etwas;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07337-07461).mp3;7337;7461;124;52245;ein hoher ton hängt zitternd in der luft;ein hoher ton hängt zitternd in der luft;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07499-07714).mp3;7499;7714;197;83174;sepp hält ihn an den oberarmen und starrt ihm aus nächster nähe ins gesicht;sepp hält ihn an den oberarmen und starrt ihm aus nächster nähe ins gesicht;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07744-07856).mp3;7744;7856;112;47230;der junge kann das rot im bart des knechts sehen;der junge kann das rot im bart des knechts sehen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (07876-07969).mp3;7876;7969;93;39289;dort wo der zahn fehlt blutet es;dort wo der zahn fehlt blutet es;train7;10
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (08005-08353).mp3;8005;8353;348;145868;er könnte dem knecht mit aller kraft die faust ins gesicht schlagen sepp würde ihn wohl fallen lassen und wenn er schnell wieder auf die füße käme könnte er abstand gewinnen und den wald erreichen;er könnte dem knecht mit aller kraft die faust ins gesicht schlagen sepp würde ihn wohl fallen lassen und wenn er schnell wieder auf die füße käme könnte er abstand gewinnen und den wald erreichen;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (08379-08511).mp3;8379;8511;132;55589;aber wozu sie leben in derselben mühle;aber wozu sie leben in derselben mühle;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (08533-08705).mp3;8533;8705;172;72307;wenn sepp ihn heute nicht erwischt so erwischt er ihn morgen und wenn nicht morgen dann übermorgen;wenn sepp ihn heute nicht erwischt so erwischt er ihn morgen und wenn nicht morgen dann übermorgen;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (08707-08818).mp3;8707;8818;111;46812;besser man bringt es jetzt hinter sich da alle zusehen;besser man bringt es jetzt hinter sich da alle zusehen;train7;10000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 013.mp3;Daniel Kehlmann - Tyll - 013 (08829-08957).mp3;8829;8957;128;53917;vor den augen der anderen wird sepp ihn schon nicht umbringen;vor den augen der anderen wird sepp ihn schon nicht umbringen;train8;2003
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00061-00299).mp3;61;299;238;99893;sie sind alle aus dem haus gekommen rosa steht auf den zehenspitzen um besser sehen zu können sie lacht noch immer;sie sind alle aus dem haus gekommen rosa steht auf den zehenspitzen um besser sehen zu können sie lacht noch immer;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00320-00407).mp3;320;407;87;36781;und auch die zwei knechte neben ihr lachen;und auch die zwei knechte neben ihr lachen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00444-00509).mp3;444;509;65;27586;agneta ruft etwas;agneta ruft etwas;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00519-00643).mp3;519;643;124;52245;der junge sieht sie den mund aufreißen und die hände schwingen;der junge sieht sie den mund aufreißen und die hände schwingen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00663-00728).mp3;663;728;65;27586;aber hören kann er sie nicht;aber hören kann er sie nicht;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (00763-00951).mp3;763;951;187;78996;neben ihr blickt klaus immer noch drein als dächte er an etwas anderes;neben ihr blickt klaus immer noch drein als dächte er an etwas anderes;train9;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01013-01106).mp3;1013;1106;93;39289;da hat der knecht ihn hoch über den kopf gehoben;da hat der knecht ihn hoch über den kopf gehoben;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01128-01342).mp3;1128;1342;214;89862;der junge befürchtet dass sepp ihn auf den harten boden schleudern wird er hebt die hände schützend vor die stirn;der junge befürchtet dass sepp ihn auf den harten boden schleudern wird er hebt die hände schützend vor die stirn;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01368-01441).mp3;1368;1441;73;30929;aber sepp tritt einen;aber sepp tritt einen;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01451-01568).mp3;1451;1568;117;49320;und noch einen und einen dritten schritt vor;und noch einen und einen dritten schritt vor;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01597-01761).mp3;1597;1761;164;68964;und plötzlich beginnt das herz des jungen zu rasen das blut;und plötzlich beginnt das herz des jungen zu rasen das blut;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01764-01986).mp3;1764;1986;222;93205;pocht in seinen ohren er beginnt zu schreien er kann seine stimme nicht hören er schreit lauter;pocht in seinen ohren er beginnt zu schreien er kann seine stimme nicht hören er schreit lauter;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (01998-02136).mp3;1998;2136;138;58097;er hört sie noch immer nicht er hat begriffen was sepp vorhat;er hört sie noch immer nicht er hat begriffen was sepp vorhat;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (02154-02304).mp3;2154;2304;150;63531;aber begreifen es auch die anderen noch könnten sie einschreiten aber;aber begreifen es auch die anderen noch könnten sie einschreiten aber;train9;100000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (02345-02410).mp3;2345;2410;65;27586;jetzt nicht mehr;jetzt nicht mehr;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (02429-02591).mp3;2429;2591;130;55172;sepp hat es getan der junge fällt;sepp hat es getan der junge fällt;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (02611-02809).mp3;2611;2809;198;83174;er fällt immer noch die zeit scheint langsamer zu werden er kann sich noch umsehen;er fällt immer noch die zeit scheint langsamer zu werden er kann sich noch umsehen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (02814-03693).mp3;2814;3693;879;367805;er spürt den sturz das gleiten durch die luft er kann auch noch denken dass jetzt ganz genau das geschieht wovor er sein leben lang gewarnt worden ist steig nicht vor dem rad in den bach geh niemals vor dem geh vor dem mühlrad nicht auf keinen fall geh nie nie geh nie vor dem mühlrad in den bach;er spürt den sturz das gleiten durch die luft er kann auch noch denken dass jetzt ganz genau das geschieht wovor er sein leben lang gewarnt worden ist steig nicht vor dem rad in den bach geh niemals vor dem geh vor dem mühlrad nicht auf keinen fall geh nie nie geh nie vor dem mühlrad in den bach;train8;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (03735-03964).mp3;3735;3964;229;96131;und jetzt da das gedacht ist ist der sturz noch immer nicht vorbei und er fällt noch immer und fällt;und jetzt da das gedacht ist ist der sturz noch immer nicht vorbei und er fällt noch immer und fällt;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 014.mp3;Daniel Kehlmann - Tyll - 014 (03978-04043).mp3;3978;4043;65;27586;und fällt immer noch;und fällt immer noch;train;0
